inchikey,smiles,mw,observed_as_reactant,observed_as_product,strict_starting_material_candidate,source_reaction_ids,source_files,classifications
UOZZCNZPVMSOLC-UHFFFAOYSA-N,COc1ccc(C(=O)CCBr)c(OC)c1,273.126,False,True,False,LIT_0102,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
KVIUXRJCBBXEGJ-UHFFFAOYSA-N,COc1ccc(C(=O)Cl)c(OC)c1,200.621,True,False,True,LIT_0246,26-06-26 黄酮化合物的合成.md,protection
DAUAQNGYDSHRET-UHFFFAOYSA-N,COc1ccc(C(=O)O)cc1OC,182.175,False,True,False,LIT_0078,26-06-25 黄酮化合物的性质.md,chalcone_synthesis
KIQHFEMAQRZZGB-UHFFFAOYSA-N,COc1ccc(C(C(=O)c2ccc(OC)cc2OCc2ccccc2)C(OC)OC)cc1,436.504,True,True,False,LIT_0198;LIT_0199,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
WGYPDEBVTGVYAB-UHFFFAOYSA-N,COc1ccc(C(C)=O)c(OCc2ccccc2)c1,256.301,True,False,True,LIT_0222,26-06-26 黄酮化合物的合成.md,oxidation
IQZLUWLMQNGTIW-UHFFFAOYSA-N,COc1ccc(C(C)=O)cc1OC,180.203,True,False,True,LIT_0128,26-06-26 黄酮化合物的合成.md,deprotection
FDBLXEKIVHZIDM-UHFFFAOYSA-N,COc1ccc(C(C=O)Oc2c(C=O)ccc(OC)c2OC)cc1OC,360.362,True,True,False,LIT_0086;LIT_0087,26-06-25 黄酮化合物的性质.md,flavonoid_synthesis
QBWMEHVUEKGMOL-UHFFFAOYSA-N,COc1ccc(C(CO)C(SCc2ccccc2)c2ccccc2O)c(O[Si](C)(C)C(C)(C)C)c1,510.772,True,True,False,LIT_0227;LIT_0228,26-06-26 黄酮化合物的合成.md,literature_reaction;reduction
KGTOSQKIOMIICT-UHFFFAOYSA-N,COc1ccc(C2CCc3ccc(O)cc3O2)cc1O,272.3,False,True,False,LIT_0255,26-06-26 黄酮化合物的合成.md,reduction
ATCGUQUCFTXOBC-UHFFFAOYSA-N,COc1ccc(C2COc3ccccc3C2SCc2ccccc2)c(O)c1,378.493,True,True,False,LIT_0229;LIT_0230,26-06-26 黄酮化合物的合成.md,oxidation
MPLVYWGYIYDFOA-UHFFFAOYSA-N,COc1ccc(C2COc3ccccc3C2SCc2ccccc2)c(O[Si](C)(C)C(C)(C)C)c1,492.757,True,True,False,LIT_0228;LIT_0229,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
VDDYRAREFDERAS-UHFFFAOYSA-N,COc1ccc(C2Oc3c(ccc(OC)c3OC)C(O)C2O)cc1OC,362.378,True,True,False,LIT_0085;LIT_0086,26-06-25 黄酮化合物的性质.md,flavonoid_synthesis
CKDYDMSDCNQHEB-UHFFFAOYSA-N,COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2O)cc1,302.282,False,True,False,LIT_0174,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
FEKOGNMSBYBYSO-UHFFFAOYSA-N,COc1ccc(C2Oc3cc(OC)cc(O)c3C(=O)C2O)cc1,316.309,False,True,False,LIT_0178,26-06-26 黄酮化合物的合成.md,protection
CGOJOQBYEAVATL-UHFFFAOYSA-N,COc1ccc(C=CC(=O)Cl)cc1,196.633,True,False,True,LIT_0107_v23;LIT_0107_v24;LIT_0107_v25,26-06-26 黄酮化合物的合成.md,biosynthesis
ZTJVUQCDTAAQKW-RTCVHVQXSA-N,COc1ccc(C=CC(=O)c2c(O)cc(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O[C@H]4O[C@H](C)[C@@H](O)[C@H](O)[C@@H]4O)[C@H]3O)cc2O)cc1O,610.565,True,True,False,LIT_0020_v02;LIT_0021_v02,26-06-18 黄酮化合物的生物合成.md,biosynthesis
IFJLNOXFRRHOQD-UHFFFAOYSA-N,COc1ccc(C=CC(=O)c2ccc(C)cc2)cc1,252.313,False,True,False,LIT_0107_v24,26-06-26 黄酮化合物的合成.md,biosynthesis
HDXVSZWKIHQDES-UHFFFAOYSA-N,COc1ccc(C=CC(=O)c2ccc(OC)cc2)cc1,268.312,False,True,False,LIT_0107_v25,26-06-26 黄酮化合物的合成.md,biosynthesis
XUFXKBJMCRJATM-UHFFFAOYSA-N,COc1ccc(C=CC(=O)c2ccccc2)cc1,238.286,False,True,False,LIT_0107_v23,26-06-26 黄酮化合物的合成.md,biosynthesis
UIOMNPYQUBMBOJ-UHFFFAOYSA-N,COc1ccc(C=O)c(O)c1OC,182.175,False,True,False,LIT_0087,26-06-25 黄酮化合物的性质.md,flavonoid_synthesis
ZRSNZINYAWTAHE-UHFFFAOYSA-N,COc1ccc(C=O)cc1,136.15,True,False,True,LIT_0123_v01;LIT_0123_v03;LIT_0172;LIT_0176,26-06-26 黄酮化合物的合成.md,oxidation;protection
ATTFAYYIRHBGME-UHFFFAOYSA-N,COc1ccc(CBr)c(Br)c1,279.959,True,False,True,LIT_0273,26-06-26 黄酮化合物的合成.md,literature_reaction
PSDLKRYVNLZBMD-QGZVFWFLSA-N,COc1ccc(CC(=O)N2C[C@@H](Cc3ccccc3)OC2=O)cc1,325.364,True,False,True,LIT_0272,26-06-26 黄酮化合物的合成.md,literature_reaction
